overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Pop,Rock,Funk/Soul,Electronic/Dance,Hip Hop
6.333333333333333,2,0,20.5,0,1,Major,65,56,66,89,-4,0,1,0,1,0,0,0,0,0,165,0,1,0,0,0,0,0,0,0.6931471805599453,4.356708826689592,0,1,0,0,0
6.666666666666667,0.6666666666666666,0,15,0,0,Major,102,22,56,30,-12,1,0,1,1,1,0,0,0,0,144,0,0,0,0,0,0,0,0,1.3862943611198906,4.477336814478207,1,0,0,0,0
1,0,1,17,0,0,Major,122,40,80,97,-13,0,1,1,0,0,0,0,0,0,144,0,0,0,0,0,0,1,0,0.6931471805599453,4.23410650459726,1,0,0,0,0
8.333333333333334,2,0,25,0,0,Major,126,49,64,75,-9,1,0,0,1,0,0,0,0,0,196,0,0,1,0,0,1,0,0,1.791759469228055,4.174387269895637,1,0,0,0,0
6.666666666666667,2,0,18,0,0,Major,157,64,53,94,-7,0,0,1,1,0,1,0,0,1,154,0,0,1,0,0,1,0,0,1.3862943611198906,3.044522437723423,0,1,0,0,0
5.333333333333333,2,0,22,0,0,Major,109,48,32,66,-10,0,0,1,0,0,1,0,0,0,152,0,0,0,0,0,0,0,0,1.0986122886681096,4.276666119016055,0,0,0,0,0
2.3333333333333335,1.3333333333333333,0,24,0,0,Minor,108,23,83,6,-14,1,0,0,0,0,0,0,0,0,185,0,1,0,0,0,0,1,1,0.6931471805599453,4.1588830833596715,0,0,0,0,0
9.333333333333334,0.6666666666666666,0,22,0,0,Major,143,53,54,90,-11,0,0,1,0,1,0,0,0,0,155,0,1,0,0,0,0,0,0,1.3862943611198906,4.127134385045092,1,0,0,0,0
6.333333333333333,3.3333333333333335,0,15,0,0,Major,108,21,49,46,-15,1,0,0,1,1,0,0,0,0,185,0,0,1,0,0,1,0,0,0.6931471805599453,4.0943445622221,1,0,0,0,0
9.666666666666666,0.6666666666666666,0,30,0,0,Major,90,40,14,30,-9,0,0,0,1,1,0,0,0,0,215,0,0,1,0,0,1,0,0,0.6931471805599453,4.3694478524670215,1,0,0,0,0
8.333333333333334,0.6666666666666666,1,22,1,0,Major,124,71,49,69,-10,1,1,1,0,0,0,0,0,0,96,0,1,0,0,0,0,0,0,0.6931471805599453,4.430816798843313,0,1,0,0,0
7.666666666666667,0.6666666666666666,0,25,0,0,Major,66,9,35,19,-18,1,0,1,0,0,0,0,0,0,187,0,0,1,0,0,1,1,0,1.9459101490553132,4.532599493153256,1,0,0,0,0
9,0,0,19,0,0,Major,137,38,49,47,-11,1,0,1,0,1,0,0,0,0,162,0,1,0,0,0,0,0,0,1.0986122886681096,3.8066624897703196,1,0,0,0,0
5.333333333333333,0.6666666666666666,0,19,0,0,Major,77,61,45,96,-7,0,0,1,1,0,1,0,1,1,147,0,1,1,0,0,1,0,0,1.3862943611198906,0.6931471805599453,0,1,0,0,0
7,0,0,26,0,0,Multiple Keys,83,67,45,89,-8,0,0,1,1,0,1,0,0,0,112,0,1,1,0,0,1,0,0,1.0986122886681096,4.343805421853684,1,0,0,0,0
9.666666666666666,0.6666666666666666,0,24,1,0,Multiple Keys,79,53,59,73,-8,0,0,1,0,0,0,1,0,0,137,0,1,0,0,0,0,0,0,1.6094379124341003,2.772588722239781,0,1,0,0,0
6,0,0,28,0,0,Major,127,63,75,75,-8,0,0,0,1,0,1,0,0,0,154,0,1,0,0,0,0,0,0,0.6931471805599453,4.276666119016055,0,1,0,0,0
5.333333333333333,2,0,21,0,1,Major,123,36,74,86,-12,1,0,1,1,0,0,0,0,0,143,0,0,0,0,0,0,0,0,1.0986122886681096,4.219507705176107,0,1,0,0,0
