weeks_at_number_one,overall_rating,divisiveness,cdr_genre,artist_structure,multiple_lead_vocalists,group_named_after_non_lead_singer,posthumous,front_person_age,artist_male,artist_white,artist_black,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,written_for_a_film,written_for_a_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,eurovision_entry
9,8.333333333333334,2.6666666666666665,Jazz,1,0,0,0,23,1,1,0,1,1,0,0,1,1,0,0,0,4/4,Multiple Keys,83,53,55,46,-12,76,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,12,6,0,0,0,0,1,0,0,1,Murder;Death,0,0,0,0,0,0,0,0,0,0
1,4.666666666666667,1.3333333333333333,Pop,0,0,0,0,19,2,1,0,1,1,0,0,2,1,0,0,0,Free;4/4,E,97,9,37,21,-17,93,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,34,1,1,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
2,3.6666666666666665,1.3333333333333333,Pop,1,0,0,0,32,1,1,0,1,1,0,0,1,1,0,0,0,4/4,F,172,59,58,84,-11,46,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,155,0,18,13,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
1,3,2,Pop,1,1,0,0,19,1,1,0,1,1,0,0,1,1,0,0,1,4/4,C,94,35,51,59,-9,76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,26,9,0,0,0,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
2,7,2,Folk/Country,1,0,0,0,34,1,1,0,1,1,1,1,1,1,0,0,0,3/4,D,107,45,65,69,-10,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,8,8,0,0,0,0,0,0,0,0,Love;Murder;Death,1,0,0,0,0,0,0,0,0,0
3,5.333333333333333,1.3333333333333333,Rock,1,0,0,0,20,1,1,0,1,1,0,0,1,1,0,0,1,4/4,Bb,120,30,77,82,-15,85,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,158,0,0,4,0,0,1,0,0,0,0,0,Love;Death,1,0,0,0,0,0,0,0,0,0
2,4.666666666666667,5.333333333333333,Pop,1,0,0,0,26,1,1,0,2,1,0,0,1,1,0,0,0,Free;4/4,C,102,6,57,28,-19,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,10,1,1,0,0,0,0,0,0,Love;Death,1,0,0,0,0,0,0,0,0,0
4,5.333333333333333,0.6666666666666666,Rock,1,0,0,0,25,1,1,0,1,2,0,0,1,1,0,0,0,4/4,G,132,51,65,95,-12,76,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,7,0,0,1,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
5,8.666666666666666,2,Rock,0,0,0,0,22,1,1,0,1,1,1,1,1,1,0,0,0,4/4,G,120,58,50,87,-9,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,7,7,0,0,1,0,0,0,0,0,Bad Relationships;Lost Love,0,0,0,0,0,0,0,0,0,0
2,4.333333333333333,0.6666666666666666,Pop,1,0,0,0,22,0,1,0,1,1,0,0,1,1,0,0,0,4/4,Gb,84,59,58,85,-10,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,160,0,11,11,0,0,0,0,0,0,0,0,Bad Relationships;Lost Love,0,0,0,0,0,0,0,0,0,0
1,6.333333333333333,2,Rock,0,0,0,0,20.5,1,1,0,1,1,0,0,1,1,1,1,0,4/4,G,65,56,66,89,-4,77,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,7,0,0,1,0,0,0,0,0,Bad Behavior,0,0,0,0,0,0,0,0,0,0
3,6.666666666666667,0.6666666666666666,Pop;Folk/Country,1,0,0,0,15,0,1,0,1,1,0,0,1,1,0,0,0,6/8,Bb,102,22,56,30,-12,87,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,14,14,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
1,1,0,Pop,1,1,0,0,17,1,1,0,1,1,0,0,1,1,0,0,0,4/4,D,122,40,80,97,-13,68,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,12,4,0,0,0,0,0,0,0,0,Shyness,1,1,0,0,0,0,0,0,0,0
5,8.333333333333334,2,Pop,1,0,0,0,25,1,1,0,1,1,0,0,1,1,0,0,0,Free;4/4,E,126,49,64,75,-9,64,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196,0,8,10,0,0,0,0,1,0,0,1,Love,0,0,0,0,0,0,0,0,0,0
3,6.666666666666667,2,Rock,1,0,0,0,18,1,0,1,1,0,0,0,1,1,0,0,0,4/4,E,157,64,53,94,-7,20,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,154,0,19,5,0,0,0,0,1,0,0,1,Dancing,0,0,0,0,0,0,0,1,0,0
2,5.333333333333333,2,Folk/Country,1,0,0,0,22,0,1,0,1,1,0,0,1,1,0,0,0,4/4,Gb,109,48,32,66,-10,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,152,0,8,8,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
1,2.3333333333333335,1.3333333333333333,Folk/Country,1,0,0,0,24,1,1,0,1,1,0,0,1,1,0,0,1,4/4,Bm,108,23,83,6,-14,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,8,26,0,0,1,0,0,0,0,0,War,0,1,1,0,0,0,0,0,0,0
3,9.333333333333334,0.6666666666666666,Pop,0,0,0,0,22,1,0,1,1,1,0,0,1,1,0,0,0,4/4,E,143,53,54,90,-11,61,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,17,3,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
1,6.333333333333333,3.3333333333333335,Pop,1,0,0,0,15,0,1,0,1,1,0,0,1,1,0,0,0,3/4,Ab,108,21,49,46,-15,59,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,12,0,0,0,0,1,0,0,1,Longing for Love,0,0,0,0,0,1,0,0,0,0
1,9.666666666666666,0.6666666666666666,Pop,1,0,0,0,30,1,0,1,1,1,0,0,1,1,0,0,0,4/4,G,90,40,14,30,-9,78,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,22,16,0,0,0,0,1,0,0,1,Home;Love,0,0,0,0,0,0,0,0,0,0
1,8.333333333333334,0.6666666666666666,Rock,0,1,0,0,22,1,0,1,1,0,1,1,1,1,0,0,0,4/4,Bb,124,71,49,69,-10,83,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
6,7.666666666666667,0.6666666666666666,Pop;Folk/Country,1,0,0,0,25,1,1,0,1,1,0,0,1,1,0,0,0,3/4,C,66,9,35,19,-18,92,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,8,8,0,0,0,0,1,0,0,1,Lost Love;Longing for Love,0,1,0,0,0,0,0,0,0,0
2,9,0,Pop,0,0,0,0,19,0,0,1,2,1,0,0,1,0,0,0,0,4/4,C,137,38,49,47,-11,44,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,23,7,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
3,5.333333333333333,0.6666666666666666,Rock,1,0,0,0,19,1,0,1,1,0,0,0,1,1,0,0,0,4/4,Eb,77,61,45,96,-7,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,147,0,18,4,0,0,1,0,1,0,0,1,Dancing,0,0,0,0,0,0,0,1,0,0
2,7,0,Pop,1,0,0,0,26,1,1,0,1,1,0,0,1,1,0,0,0,4/4,Multiple Keys,83,67,45,89,-8,76,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,19,9,0,0,1,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
4,9.666666666666666,0.6666666666666666,Rock,1,0,0,0,24,1,1,0,1,1,1,0,1,1,0,0,0,4/4,Multiple Keys,79,53,59,73,-8,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,31,6,0,0,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
1,6,0,Rock,1,0,0,0,28,1,0,1,1,0,0,0,1,0,0,0,1,4/4,Eb,127,63,75,75,-8,71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,30,8,0,0,1,0,0,0,0,0,Anger;Family,0,0,0,0,0,0,0,0,0,0
2,5.333333333333333,2,Rock,1,0,0,0,21,1,1,0,1,1,0,0,1,1,1,0,0,4/4,D,123,36,74,86,-12,67,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,26,8,0,0,0,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
1,9,2,Pop,1,0,0,0,25,1,1,0,1,1,1,0,1,1,0,0,0,6/8,A,128,39,57,38,-11,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,3,3,0,0,0,0,0,0,1,1,Love,1,0,0,0,0,0,0,0,0,0
1,1.6666666666666667,1.3333333333333333,Pop,1,0,0,0,27,1,1,0,1,1,0,0,1,1,0,0,0,4/4,Fm,139,73,62,69,-7,58,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,26,14,0,0,1,0,1,0,0,1,Death;Love,1,0,0,0,0,0,0,0,0,0
2,8,1.3333333333333333,Funk/Soul;Rock,1,0,0,0,22,1,0,1,1,2,1,0,1,1,0,0,1,4/4,Eb,165,83,46,90,-9,93,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,150,0,60,28,0,0,1,0,0,0,1,1,Partying,0,0,0,0,0,0,0,0,0,0
7,7,1.3333333333333333,Rock,1,0,0,0,36,1,0,1,1,1,0,0,1,1,0,0,1,4/4,C,143,72,57,96,-9,22,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,159,0,15,1,0,0,1,0,0,0,0,0,Insomnia;Lost Love,0,0,0,0,0,0,0,0,0,0
1,1.3333333333333333,0.6666666666666666,Polka,1,0,0,0,21,1,1,0,2,1,0,0,1,1,0,0,0,4/4,Db,85,46,84,95,-10,71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118,0,33,5,0,0,0,0,1,0,0,1,Love,0,0,0,0,0,0,0,0,0,0
3,5.666666666666667,2,Rock,1,0,0,0,18,1,1,0,2,1,0,0,1,1,0,0,0,Free;4/4,F,82,43,49,66,-12,70,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,5,16,1,1,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
2,7.333333333333333,2,Funk/Soul,1,1,0,0,31,1,0,1,1,0,0,0,1,1,0,0,0,4/4,Abm,173,63,56,93,-11,63,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,5,5,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
2,8,0,Funk/Soul;Rock,1,0,0,0,22,1,1,0,1,1,1,0,1,1,0,0,0,Free;4/4,D,80,61,36,60,-10,45,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,161,0,28,46,1,1,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
5,6.666666666666667,2.6666666666666665,Folk/Country,1,0,0,0,33,1,1,0,1,1,1,1,1,1,0,0,0,4/4;Free,Em,174,46,52,46,-13,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,6,0,0,1,0,0,0,0,0,Work;Death,1,1,1,0,0,0,0,0,0,0
1,7.666666666666667,1.3333333333333333,Pop,0,1,0,0,16,0,0,1,1,0,0,0,1,0,0,0,1,4/4,D,121,78,79,97,-5,72,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,25,0,0,1,0,0,0,0,0,Lost Love;Love,0,0,0,0,0,0,0,0,1,0
3,4.666666666666667,2,Rock,0,0,0,0,21,1,2,2,1,2,1,0,1,0,0,0,1,4/4,C,99,77,42,69,-12,35,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,119,0,37,8,0,0,1,0,0,0,1,1,Dancing,0,0,0,0,0,0,0,1,0,0
3,6,2,Funk/Soul,1,0,0,0,22,1,0,1,2,0,1,0,1,0,0,0,0,4/4,F,105,28,58,47,-11,83,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,17,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
3,5.666666666666667,1.3333333333333333,Rock,1,0,0,0,21,1,1,0,2,1,1,0,1,1,0,0,0,4/4,A,130,55,63,56,-9,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,0,17,14,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
1,7,0,Pop,1,0,0,0,24,0,1,0,1,1,0,0,1,1,0,0,0,6/8,Ab,76,40,24,17,-7,88,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,12,0,0,0,0,0,0,0,0,Lost Love,0,1,0,0,0,0,0,0,0,0
2,5.333333333333333,1.3333333333333333,Pop,1,0,0,0,18,0,1,0,1,1,0,0,1,1,0,0,0,Free;4/4,C,108,38,37,74,-9,87,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,8,12,1,1,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,1,0,0,0
2,4.666666666666667,0.6666666666666666,Rock,1,0,0,0,27,1,1,0,1,1,0,0,1,1,0,0,0,4/4,G,121,35,63,87,-17,80,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,6,8,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
3,6.333333333333333,0.6666666666666666,Pop,0,0,0,0,20,0,0,1,2,2,0,0,1,0,0,0,1,Free;4/4,Bb,98,20,57,62,-15,75,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,40,17,1,1,0,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
5,7.666666666666667,2,Pop,1,0,0,0,31,1,0,1,1,1,0,0,1,1,0,0,0,4/4;Free,F,79,28,31,38,-14,81,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,1,0,0,1,Lost Love,0,0,0,0,0,0,0,0,0,0
4,3.6666666666666665,2.6666666666666665,Pop,1,0,0,0,27,1,1,0,1,1,0,0,1,1,0,0,0,4/4;Free,F,103,22,51,53,-10,83,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,9,0,0,0,0,0,0,1,1,Love,1,0,0,0,0,0,0,0,0,0
2,6.333333333333333,2,Pop,1,1,0,0,23,1,1,0,1,1,1,0,1,1,0,0,0,4/4,B,116,80,74,96,-5,70,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,15,0,0,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
1,8,1.3333333333333333,Pop,1,1,0,0,19,0,0,1,2,1,0,0,1,1,0,0,1,4/4,Eb,129,78,63,74,-10,71,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139,0,20,8,0,0,1,0,0,0,0,0,Dancing,0,0,0,0,0,0,0,1,1,0
2,6.333333333333333,2.6666666666666665,Rock,1,0,0,0,20,1,1,0,1,1,1,1,1,1,0,0,0,4/4,A,136,57,42,47,-9,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,16,7,0,0,1,0,0,0,1,1,Love,0,0,0,0,0,0,0,0,0,0
5,5.333333333333333,1.3333333333333333,Rock,0,1,0,0,28,1,1,0,1,1,1,1,1,1,0,0,0,4/4,C,118,47,70,69,-8,65,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152,0,8,8,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
2,5.333333333333333,2,Rock,0,0,0,0,24,1,1,0,1,1,1,0,1,1,0,0,0,4/4,G,70,49,69,71,-14,41,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,192,0,6,15,0,0,1,0,0,0,0,0,Partying;Dancing,1,1,0,0,0,0,0,1,0,0
2,9.666666666666666,0.6666666666666666,Pop,0,0,0,0,21,0,0,1,1,1,0,0,1,1,0,0,0,4/4,F,117,76,71,87,-6,63,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,151,0,25,8,0,0,1,0,0,0,0,0,Love;Bad Behavior,0,0,0,0,0,0,0,0,0,0
5,3,1.3333333333333333,Rock,0,1,0,0,28,1,1,0,1,1,1,0,1,1,0,0,1,4/4,G,130,84,76,84,-5,39,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146,0,17,11,0,0,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
2,2.6666666666666665,2.6666666666666665,Pop,1,1,0,0,27,1,1,0,2,1,0,0,1,1,0,0,0,4/4,F,109,29,42,56,-14,49,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,28,8,0,0,0,0,1,0,0,1,Longing for Love;Forbidden Love,0,0,0,0,0,0,0,0,1,0
2,6,3.3333333333333335,Folk/Country,0,0,0,0,29,2,1,0,1,2,0,0,1,1,1,1,1,4/4,Ab,130,66,68,96,-10,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,60,31,0,0,0,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
3,3.6666666666666665,2.6666666666666665,Pop,2,1,0,0,21,2,1,0,1,1,1,1,1,1,0,0,0,6/8,G,110,26,51,54,-12,78,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
3,7.666666666666667,0.6666666666666666,Rock,0,1,0,0,28,1,1,0,1,1,1,0,1,1,0,0,1,4/4,Bb,118,64,68,97,-10,61,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117,0,4,28,0,0,1,0,0,0,0,0,Bad Relationships;Lost Love,0,0,0,0,0,0,0,0,0,0
