overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Electronic/Dance,Funk/Soul,Hip Hop,Pop,Rock
7.333333333333333,1.3333333333333333,0,21,1,1,Major,82,57,62,90,-12,0,1,1,1,0,1,0,1,0,231,0,1,0,0,0,0,0,0,1.3862943611198906,3.332204510175204,0,0,0,1,0
9.333333333333334,0.6666666666666666,0,33,1,0,Major,115,65,77,69,-6,0,0,0,1,0,0,0,0,0,229,0,1,0,0,0,0,0,1,0.6931471805599453,1.791759469228055,0,1,0,0,0
6.333333333333333,1.3333333333333333,0,26,1,1,Minor,93,59,68,49,-7,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,1,0.6931471805599453,2.70805020110221,1,0,0,0,0
5.666666666666667,1.3333333333333333,1,27,1,1,Minor,94,77,93,68,-6,0,0,0,0,0,0,0,0,0,231,0,1,0,1,1,1,0,1,1.9459101490553132,2.3978952727983707,0,0,1,0,0
9,1.3333333333333333,1,11,0,0,Major,94,81,71,95,-8,0,0,1,1,0,0,0,1,0,175,0,1,0,0,0,0,0,0,1.0986122886681098,3.828641396489095,0,0,0,1,0
6.666666666666667,2.6666666666666665,0,28,1,0,Major,90,77,55,46,-5,0,0,0,1,0,0,0,0,0,223,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,0,1,0
4,1.3333333333333333,0,42,1,0,Major,171,94,57,50,-5,0,0,1,1,0,1,0,0,0,241,0,0,0,0,0,0,0,0,0.6931471805599453,1.3862943611198906,0,0,0,0,1
6.333333333333333,2.6666666666666665,0,32,0,0,Major,156,76,51,87,-12,0,0,1,0,0,0,0,0,0,174,0,1,1,0,0,1,0,0,1.3862943611198906,2.70805020110221,0,0,0,0,1
8,2,0,22,0,0,Major,131,31,50,25,-16,0,0,0,1,1,0,0,0,0,291,0,0,1,0,0,1,0,0,1.3862943611198906,3.8918202981106265,0,0,0,1,0
4.666666666666667,2,0,26,1,1,Major,76,70,72,50,-5,0,0,1,0,1,0,1,0,0,313,0,1,0,0,0,0,0,0,0.6931471805599453,2.772588722239781,0,1,0,0,0
4.666666666666667,1.3333333333333333,0,32,1,0,Major,104,56,43,28,-7,0,0,1,0,1,1,1,0,0,235,0,1,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,0,0,0,0,1
5.666666666666667,2.6666666666666665,1,25.5,1,1,Minor,99,84,75,80,-5,0,1,0,0,1,0,0,0,0,213,1,0,0,0,0,0,0,1,0.6931471805599453,3.6375861597263857,0,0,1,0,0
